gvkey,conm,tic,datadate,fyear,gsector,ggroup,gind,gsubind,naics,sic,naics2,naics3,sic2,sic4
001013,ADC TELECOMMUNICATIONS INC,ADCT.1,2010-09-30,2010,45,4520,452010,45201020,334210,3661,33,334,36,3661
001045,AMERICAN AIRLINES GROUP INC,AAL,2025-12-31,2025,20,2030,203020,20302010,481111,4512,48,481,45,4512
001062,ASA GOLD AND PRECIOUS METALS,ASA,2025-11-30,2025,40,4020,402030,40203010,523999,6799,52,523,67,6799
001078,ABBOTT LABORATORIES,ABT,2025-12-31,2025,35,3510,351010,35101010,334510,3845,33,334,38,3845
001094,ACETO CORP,ACETQ,2018-06-30,2018,35,3510,351020,35102010,424690,5160,42,424,51,5160
001117,BK TECHNOLOGIES CORP,BKTI,2025-12-31,2025,45,4520,452010,45201020,334220,3663,33,334,36,3663
001161,ADVANCED MICRO DEVICES,AMD,2025-12-31,2025,45,4530,453010,45301020,334413,3674,33,334,36,3674
001173,AEROSONIC CORP,AIM.1,2013-01-31,2012,20,2010,201010,20101010,334511,3812,33,334,38,3812
001177,AETNA INC,AET,2017-12-31,2017,35,3510,351020,35102030,524114,6324,52,524,63,6324
001209,AIR PRODUCTS & CHEMICALS INC,APD,2025-09-30,2025,15,1510,151010,15101040,325120,2810,32,325,28,2810
001210,AIR T INC,AIRT,2025-03-31,2024,20,2030,203010,20301010,492110,4513,49,492,45,4513
001327,SKYWORKS SOLUTIONS INC,SWKS,2025-09-30,2025,45,4530,453010,45301020,334413,3674,33,334,36,3674
001356,ALCOA INC,AA.3,2015-12-31,2015,15,1510,151040,15104010,003364,3720,00,003,37,3720
001380,HESS CORP,HES,2024-12-31,2024,10,1010,101020,10102020,002111,1311,00,002,13,1311
001382,US AIRWAYS GROUP INC,LCC,2012-12-31,2012,20,2030,203020,20302010,481111,4512,48,481,45,4512
001414,PRIMERICA INC,PRI,2025-12-31,2025,40,4030,403010,40301020,524113,6311,52,524,63,6311
001439,US ECOLOGY INC,ECOL,2021-12-31,2021,20,2020,202010,20201050,562211,4955,56,562,49,4955
001440,AMERICAN ELECTRIC POWER CO,AEP,2025-12-31,2025,55,5510,551010,55101010,002211,4911,00,002,49,4911
001447,AMERICAN EXPRESS CO,AXP,2025-12-31,2025,40,4020,402020,40202010,522210,6141,52,522,61,6141
001449,AFLAC INC,AFL,2025-12-31,2025,40,4030,403010,40301020,524114,6321,52,524,63,6321
001468,AMERICAN GREETINGS  -CL A,AM.1,2013-02-28,2012,25,2520,252010,25201050,511191,2771,51,511,27,2771
001487,AMERICAN INTERNATIONAL GROUP,AIG,2025-12-31,2025,40,4030,403010,40301040,524126,6331,52,524,63,6331
001533,AMERICAN PACIFIC CORP,APFC,2013-09-30,2013,15,1510,151010,15101050,325180,2810,32,325,28,2810
001598,AMETEK INC,AME,2025-12-31,2025,20,2010,201040,20104010,334513,3823,33,334,38,3823
001602,AMGEN INC,AMGN,2025-12-31,2025,35,3520,352010,35201010,325414,2836,32,325,28,2836
001632,ANALOG DEVICES INC,ADI,2025-10-31,2025,45,4530,453010,45301020,334413,3674,33,334,36,3674
001633,ANALOGIC CORP,ALOG,2017-07-31,2017,35,3510,351010,35101010,334510,3845,33,334,38,3845
001634,ANALYSTS INTERNATIONAL CORP,ANLY,2012-12-31,2012,45,4510,451020,45102010,541511,7371,54,541,73,7371
