srcdate,filing_date,supplier_gvkey,supplier_tic,customer_tic,customer_gvkey,salecs,total_sale,weight_wji,source
2010-01-31,2010-04-07,001173,AIM.1,BA,002285,4.359,31.136,0.139999,both
2010-01-31,2010-02-23,001878,ADSK,TECD,012171,239.918,1713.7,0.14,both
2010-01-31,2010-03-29,008219,OXM,COST,029028,66.334,813.715,0.08152,both
2010-01-31,2010-03-29,008219,OXM,JWN,007922,36.308,813.715,0.04462,both
2010-01-31,2010-03-29,008219,OXM,M,004611,36.308,813.715,0.04462,both
2010-01-31,2010-03-29,008219,OXM,TGT,003813,24.323,813.715,0.029891,both
2010-01-31,2010-03-22,008551,PVH,M,004611,285.449,2398.731,0.119,both
2010-01-31,2010-04-14,008832,AGX,VZ,002136,,232.33,,partner_only
2010-01-31,2010-03-11,008958,RAVN,GR,005229,38.045,237.782,0.159999,both
2010-01-31,2010-04-16,012597,LAKE,USA,014729,61.504,94.141,0.653318,partner_only
2010-01-31,2010-03-25,019402,GIII,M,004611,134.545,800.864,0.168,both
2010-01-31,2010-04-15,024096,APEX.1,TGT,003813,13.2,32.57,0.405281,both
2010-01-31,2010-03-19,028303,PERY,KSS,025283,150.84,754.202,0.199999,both
2010-01-31,2010-03-19,028303,PERY,M,004611,82.962,754.202,0.11,both
2010-01-31,2010-03-17,063447,GES,M,004611,69.058,2031.114,0.034,both
2010-01-31,2010-05-03,063640,PRLS,NOVL,011910,,4.843,,partner_only
2010-01-31,2010-03-11,063938,SEAC,VMED,153668,24.199,201.665,0.119996,both
2010-01-31,2010-03-02,124049,TTPA,CVS,007241,,32.465,,partner_only
2010-01-31,2010-03-02,124049,TTPA,GOOGL,160329,,32.465,,partner_only
2010-01-31,2010-03-02,124049,TTPA,INTC,006008,,32.465,,partner_only
2010-01-31,2010-03-02,124049,TTPA,TGT,003813,,32.465,,partner_only
2010-01-31,2010-03-08,124394,TIVO.1,BBY,002184,,239.386,,partner_only
2010-01-31,2010-03-08,124394,TIVO.1,CMCSA,003226,,239.386,,partner_only
2010-01-31,2010-03-08,124394,TIVO.1,DTV.2,012206,,239.386,,partner_only
2010-01-31,2010-03-04,137310,MRVL,WDC,011399,673.845,2807.687,0.24,both
2010-02-28,2010-04-22,001468,AM.1,TGT,003813,207.778,1635.858,0.127015,both
2010-02-28,2010-05-06,002615,CAMPQ,ESE,023224,4.372,112.113,0.038996,partner_only
2010-02-28,2010-05-14,007107,MASC,F,004839,28.942,137.82,0.209999,both
2010-02-28,,008065,OAKR,SUN.1,,0.229,1.02,0.22451,ours_only
2010-02-28,2010-04-28,008348,PKE,SANM,028139,24.069,175.686,0.137,both
2010-02-28,2010-04-28,008348,PKE,TTMI,139804,19.853,175.686,0.113003,both
2010-02-28,2010-04-07,009999,SMSC,AVT,001919,36.933,307.778,0.119999,both
2010-02-28,2010-05-12,284041,OCZTQ,AMZN,064768,,143.959,,partner_only
2010-03-31,2010-06-08,001210,AIRT,DAL,003851,5.868,81.078,0.072375,both
