gvkey,srcdate,rdq,signal_date,rdq_source
001004,2010-05-31,2010-07-13,2010-07-13,RDQ_MATCHED
001004,2011-05-31,2011-07-06,2011-07-06,RDQ_MATCHED
001004,2012-05-31,2012-07-17,2012-07-17,RDQ_MATCHED
001004,2013-05-31,2013-07-25,2013-07-25,RDQ_MATCHED
001004,2014-05-31,2014-07-15,2014-07-15,RDQ_MATCHED
001004,2015-05-31,2015-07-13,2015-07-13,RDQ_MATCHED
001004,2016-05-31,2016-07-12,2016-07-12,RDQ_MATCHED
001004,2017-05-31,2017-07-11,2017-07-11,RDQ_MATCHED
001004,2018-05-31,2018-07-10,2018-07-10,RDQ_MATCHED
001004,2019-05-31,2019-07-10,2019-07-10,RDQ_MATCHED
001004,2020-05-31,2020-07-21,2020-07-21,RDQ_MATCHED
001004,2021-05-31,2021-07-20,2021-07-20,RDQ_MATCHED
001004,2022-05-31,2022-07-21,2022-07-21,RDQ_MATCHED
001004,2023-05-31,2023-07-18,2023-07-18,RDQ_MATCHED
001004,2024-05-31,2024-07-18,2024-07-18,RDQ_MATCHED
001004,2025-05-31,2025-07-16,2025-07-16,RDQ_MATCHED
001013,2010-09-30,2010-11-23,2010-11-23,RDQ_MATCHED
001019,2010-12-31,2011-03-31,2011-03-31,RDQ_MATCHED
001019,2011-12-31,2012-04-09,2012-04-09,RDQ_MATCHED
001019,2012-12-31,2013-04-09,2013-04-09,RDQ_MATCHED
001019,2013-12-31,2014-04-07,2014-04-07,RDQ_MATCHED
001019,2014-12-31,2015-04-14,2015-04-14,RDQ_MATCHED
001019,2015-12-31,2016-04-13,2016-04-13,RDQ_MATCHED
001019,2016-12-31,2017-04-12,2017-04-12,RDQ_MATCHED
001019,2017-12-31,2018-04-23,2018-04-23,RDQ_MATCHED
001019,2018-12-31,2019-04-29,2019-04-29,RDQ_MATCHED
001019,2019-12-31,2020-04-28,2020-04-28,RDQ_MATCHED
001019,2020-12-31,2021-04-22,2021-04-22,RDQ_MATCHED
001045,2014-12-31,2015-01-27,2015-01-27,RDQ_MATCHED
001045,2015-12-31,2016-01-29,2016-01-29,RDQ_MATCHED
001050,2010-12-31,2011-03-10,2011-03-10,RDQ_MATCHED
001050,2011-12-31,2012-03-08,2012-03-08,RDQ_MATCHED
001050,2012-12-31,2013-03-07,2013-03-07,RDQ_MATCHED
001050,2013-12-31,2014-03-06,2014-03-06,RDQ_MATCHED
001050,2014-12-31,2015-03-05,2015-03-05,RDQ_MATCHED
001050,2015-12-31,2016-03-10,2016-03-10,RDQ_MATCHED
001050,2016-12-31,2017-03-09,2017-03-09,RDQ_MATCHED
001050,2017-12-31,2018-03-08,2018-03-08,RDQ_MATCHED
001050,2018-12-31,2019-03-07,2019-03-07,RDQ_MATCHED
001050,2019-12-31,2020-03-04,2020-03-04,RDQ_MATCHED
001050,2020-12-31,2021-03-03,2021-03-03,RDQ_MATCHED
001050,2021-12-31,2022-03-14,2022-03-14,RDQ_MATCHED
001050,2022-12-31,2023-03-06,2023-03-06,RDQ_MATCHED
001050,2023-12-31,2024-03-05,2024-03-05,RDQ_MATCHED
001072,2010-03-31,2010-04-26,2010-04-26,RDQ_MATCHED
001072,2011-03-31,2011-04-26,2011-04-26,RDQ_MATCHED
001072,2012-03-31,2012-04-25,2012-04-25,RDQ_MATCHED
001072,2013-03-31,2013-04-24,2013-04-24,RDQ_MATCHED
001072,2014-03-31,2014-04-28,2014-04-28,RDQ_MATCHED
001072,2015-03-31,2015-04-24,2015-04-24,RDQ_MATCHED
001072,2016-03-31,2016-04-26,2016-04-26,RDQ_MATCHED
001072,2017-03-31,2017-04-28,2017-04-28,RDQ_MATCHED
001072,2018-03-31,2018-04-25,2018-04-25,RDQ_MATCHED
001072,2019-03-31,2019-04-22,2019-04-22,RDQ_MATCHED
001075,2015-12-31,2016-02-19,2016-02-19,RDQ_MATCHED
001075,2016-12-31,2017-02-24,2017-02-24,RDQ_MATCHED
001075,2017-12-31,2018-02-23,2018-02-23,RDQ_MATCHED
001075,2018-12-31,2019-02-22,2019-02-22,RDQ_MATCHED
001075,2019-12-31,2020-02-21,2020-02-21,RDQ_MATCHED
001075,2020-12-31,2021-02-24,2021-02-24,RDQ_MATCHED
001075,2021-12-31,2022-02-25,2022-02-25,RDQ_MATCHED
001075,2022-12-31,2023-02-27,2023-02-27,RDQ_MATCHED
001075,2023-12-31,2024-02-27,2024-02-27,RDQ_MATCHED
001075,2024-12-31,2025-02-25,2025-02-25,RDQ_MATCHED
001076,2010-12-31,2011-02-15,2011-02-15,RDQ_MATCHED
001076,2011-12-31,2012-02-09,2012-02-09,RDQ_MATCHED
001076,2012-12-31,2013-02-07,2013-02-07,RDQ_MATCHED
001076,2013-12-31,2014-02-07,2014-02-07,RDQ_MATCHED
001076,2014-12-31,2015-02-06,2015-02-06,RDQ_MATCHED
001076,2015-12-31,2016-02-18,2016-02-18,RDQ_MATCHED
001076,2016-12-31,2017-02-17,2017-02-17,RDQ_MATCHED
001076,2017-12-31,2018-02-15,2018-02-15,RDQ_MATCHED
001076,2018-12-31,2019-02-14,2019-02-14,RDQ_MATCHED
001076,2019-12-31,2020-02-20,2020-02-20,RDQ_MATCHED
001076,2020-12-31,2021-02-25,2021-02-25,RDQ_MATCHED
001076,2021-12-31,2022-02-23,2022-02-23,RDQ_MATCHED
001076,2022-12-31,2023-02-22,2023-02-22,RDQ_MATCHED
001076,2023-12-31,2024-02-21,2024-02-21,RDQ_MATCHED
001076,2024-12-31,2025-02-19,2025-02-19,RDQ_MATCHED
001078,2011-12-31,2012-01-25,2012-01-25,RDQ_MATCHED
