supplier_gvkey,supplier_tic,customer_gvkey,customer_tic,amount,date,srcdate
7171.0,7171.0,7241,CVS,86506.28,2024-05-07,2024-03-31
7171.0,7171.0,7241,CVS,86172.24,2025-05-08,2025-03-31
31673.0,31673.0,11264,WBA,76429.236,2024-11-06,2024-09-30
7171.0,7171.0,7241,CVS,74711.97,2023-05-08,2023-03-31
31673.0,31673.0,11264,WBA,68165.087,2023-11-02,2023-09-30
2751.0,2751.0,7241,CVS,66773.4,2025-08-12,2025-06-30
31673.0,31673.0,11264,WBA,66336.541,2021-11-04,2021-09-30
31673.0,31673.0,11264,WBA,64100.0,2022-11-03,2022-09-30
31673.0,31673.0,11264,WBA,62664.996,2020-11-05,2020-09-30
31673.0,31673.0,11264,WBA,61060.301,2019-11-07,2019-09-30
7171.0,7171.0,7241,CVS,55432.86,2022-05-05,2022-03-31
31673.0,31673.0,11264,WBA,55420.08,2018-11-06,2018-09-30
2751.0,2751.0,7241,CVS,54438.48,2024-08-14,2024-06-30
2751.0,2751.0,7241,CVS,51253.0,2023-08-15,2023-06-30
7171.0,7171.0,7241,CVS,50027.88,2021-05-06,2021-03-31
7171.0,7171.0,7241,CVS,46210.2,2020-05-20,2020-03-31
31673.0,31673.0,11264,WBA,45943.148,2017-11-02,2017-09-30
2751.0,2751.0,7241,CVS,45341.0,2022-08-11,2022-06-30
31673.0,31673.0,11264,WBA,44054.906,2016-11-02,2016-09-30
2751.0,2751.0,7241,CVS,42241.42,2021-08-05,2021-06-30
7171.0,7171.0,7241,CVS,41577.886,2019-05-08,2019-03-31
7171.0,7171.0,7241,CVS,41463.043,2018-05-24,2018-03-31
31673.0,31673.0,11264,WBA,40788.541,2015-10-29,2015-09-30
7171.0,7171.0,7241,CVS,40103.666,2017-05-18,2017-03-31
2751.0,2751.0,7241,CVS,39759.72,2020-08-06,2020-06-30
2751.0,2751.0,7241,CVS,37838.84,2019-08-08,2019-06-30
2751.0,2751.0,7241,CVS,34202.25,2018-08-06,2018-06-30
2751.0,2751.0,7241,CVS,30386.5,2016-08-02,2016-06-30
2751.0,2751.0,7241,CVS,29894.48,2017-08-02,2017-06-30
2751.0,2751.0,7241,CVS,27683.37,2015-07-30,2015-06-30
30990.0,30990.0,14729,USA,26692.0,2025-01-21,2024-12-31
2751.0,2751.0,7241,CVS,25503.52,2014-08-04,2014-06-30
30990.0,30990.0,14729,USA,24282.0,2024-01-25,2023-12-31
2751.0,2751.0,7241,CVS,23661.44,2012-08-02,2012-06-30
2751.0,2751.0,7241,CVS,23640.672,2010-08-05,2010-06-30
2751.0,2751.0,11264,WBA,23608.166,2011-08-04,2011-06-30
2751.0,2751.0,7241,CVS,23251.39,2013-08-01,2013-06-30
7241.0,7241.0,1177,AET,22726.095,2018-02-08,2017-12-31
2751.0,2751.0,11264,WBA,22585.92,2012-08-02,2012-06-30
2751.0,2751.0,7241,CVS,22581.724,2011-08-04,2011-06-30
1602.0,1602.0,7171,MCK,22173.0,2025-02-04,2024-12-31
