cnms,frequency,total_salecs
United States,4032,15872865.359
International,3300,7972197.762
North America,1303,5593789.216
Europe,755,2962163.303
Indirect Distribution,13,2511884.17
Europe/Other Markets,15,2406346.523
Other Countries,65,2251953.557
Foreign,1143,1901302.639
Not Reported,10598,1897741.779
Americas,648,1893835.287
Residential,1259,1789417.747
9 Customers,1141,1544211.7010000001
Other,279,1414168.178
Other International,262,1192975.973
Commercial,818,1180115.94
Brazil,786,1140376.6469999999
Japan,157,1108563.383
US Government,117,1073079.608
Retail,771,1035605.123
Germany,159,952289.78
EMEA,314,950964.909
Latin America,980,946688.378
Outside the U.S.,90,906400.9349999999
Others,51,892715.724
3 Customers,1120,798384.195
Stores,56,784479.796
North America pharmaceutical distribution & Svcs,5,765128.0
Asia,350,758668.181
2 Customers,1318,757596.7069999999
8 Customers,375,728562.736
Canada,2190,715707.491
Outside United States,182,705608.173
Switzerland,30,681029.48
United States of America,220,663979.028
Pharmacy network,7,650812.0
10 Customers,992,645354.736
China,282,568986.313
Italy,401,560361.288
Automotive,664,555032.249
Spain,255,549668.515
5 Customers,901,547258.799
Mainland China,33,529363.961
Overseas,55,512349.741
United States and Canada,149,480306.947
Europe and other countries,11,475182.638
Medicaid,76,469525.412
Asia Pacific,98,465121.497
U.S. Government,230,464108.31
Mexico,131,439900.986
Wholesale,276,434546.834
4 Customers,936,432157.126
"Private-Brand Marketers, Commercial and Industrial",8,419078.61
Texas,291,416747.366
U.S.,188,412750.786
Outside of Mexico,12,406806.42100000003
United Kingdom,166,402079.525
Wal-Mart Stores Inc,245,396267.553
Retail Customers,12,363551.116
Managed care and other insurers,15,362553.0
APAC,147,358559.485
Distributors,419,352646.448
Rest of the world,20,351537.507
France,70,350472.331
eCommerce,45,349439.748
Owned Stores,7,346641.695
"Other Europe, C.I.S., Africa, Middle East",11,322227.759
US Healthcare Direct Distribution & Services,4,322103.0
Outside of the United States,196,320768.994
Norway,102,318535.929
U. S. Government,23,313131.223
Other Foreign,80,286805.159
"Express Scripts, Inc.",14,272223.09
Direct Sales,175,270253.817
NAFTA,22,270118.293
Consumer,84,269538.414
Europe (Excluding Germany),11,258467.529
Direct sales,86,250261.569
Company-Operated Stores,15,240876.7
U.S. & Canada,17,236923.79200000002
Communications,225,234401.358
China commerce - Retail,9,234173.146
Other foreign,12,230170.98
All Other Countries,30,229295.06
Outside the United States,307,228627.373
Postpaid Customers,5,225819.0
Non-United States,36,221191.01
California,288,209585.881
Distribution,30,207824.001
"Managed care, Government, Commercial and Other",3,202231.766
Medicare,249,201269.514
Singapore,32,195016.449
AmerisourceBergen Corp,143,193332.407
Argentina,86,188912.717
Institutional Customers,7,174614.76
Department of Defense (DoD),18,170067.977
Industrial,175,168140.98
United States & Canada,27,166843.14
Northeast,130,166460.747
CVS Caremark Corp,55,165868.368
United states,71,161521.045
Original equipment,9,159319.016
OEM,102,159000.583
Russia,312,154296.563
Non-U.S.,47,152763.06
Restaurants,35,150537.546
U.S. Federal Government,40,150228.44700000001
South (including Puerto Rico),16,148334.424
Fabless Semiconductor/Systems Companies,8,147315.61800000002
Australia,57,145442.538
Colombia,36,145065.527
Outside of Japan,12,144023.94
"PRC (including Hong Kong, Macau and Taiwan)",6,143383.014
North america,8,142800.0
People's Republic of China,42,141173.131
Original equipment manufacturing (OEM),4,140240.11
Consumer Products,73,139910.979
"Pharmacy benefit managers,Managed care, Government",2,139280.012
Direct,141,138948.802
199 Customers,3,137085.65899999999
"Europe, Middle East, and Africa (EMEA)",11,136962.307
European Union,27,136765.29499999998
Florida,200,136136.269
Marketers and Developers,10,134468.66
Iberia,25,132524.475
Outside North America,108,131426.757
CHINA PETROLEUM & CHEM  -ADR,12,130335.575
Africa,259,129346.048
Communication,41,129134.23300000001
Korea,204,128920.242
Commercial and industrial,16,126840.557
Branded Postpaid Customers,7,125062.0
Online channels,13,125059.12599999999
Southeast Asia,10,123673.548
Managed Care,26,121262.732
Western Europe,38,120803.107
Original Equipment Manufacturers,21,120759.351
Communication service providers,6,120454.51400000001
Motor Vehicles,8,118712.0
Retail Service,2,118100.0
Residential-Retail,72,118076.602
U.S. Federal Government agencies,11,117547.217
DoD,7,116836.0
Digital,21,116562.065
Sweden,182,116319.156
Southeast Brazil,7,115393.742
Outside France,2,114438.4
Metropolitan France,17,113997.139
Hong Kong,26,113788.162
Southern Europe,14,113086.4
Boeing Co (The),134,113041.859
The Americas,10,112967.977
Lenovo Group Ltd,45,109401.445
e-Commerce,67,108666.203
US Department of Defense,25,107918.697
Rest of Europe,15,107421.293
WAL-MART STORES INC,137,105797.81
Managed Care & Other Third Party Payors,12,104701.498
Poland,196,104515.009
Outside the Americas,22,103648.231
Other Americas,9,102262.281
Data Center - Compute,1,102196.0
Online,42,100733.955
US,33,99920.248
Home Depot Inc. (The),213,99876.999
Onsite,22,98661.446
Private Entities,12,98324.1
Residential - Electricity,34,96573.287
Infrastructure,79,96015.456
OptumRx,3,95732.56
General,37,93981.0
Eastern China,17,93203.712
China commerce retail-Customer management,2,91962.12
New Markets,10,90726.857
U.S.Government,35,89240.051
Commercial - Electricity,28,88619.503
Offshore,18,88288.202
U.S,19,87811.14600000001
China commerce retail - Customer management,2,86526.157
Emerging Markets,15,86114.157
Outside of the U.S.,62,85551.731
Developed markets,5,84997.08
Residential-Electric,90,83971.563
Residential Electric,30,83642.0
Do It Yourself Customers (DIY),15,83165.084
U.S. and Canada,39,82866.23300000001
Transportation,316,82476.365
Residential - Electric,91,82028.737
Retail-Residential,44,81015.86
48 Customers,23,81015.67
Asia (excluding Japan),6,80334.787
"Europe, CIS, Africa, Middle East",5,80146.38100000001
Indirect Channels,35,79651.112
Outside Denmark,5,79145.543
Intermodal,29,78852.662
German Speaking Countries & Central&Eastern Europe,2,78494.588
Commercial Electric,15,78129.0
"Europe, Middle East and Africa",63,77482.48
Value-Added Resellers,7,77462.084
Gaming,54,77227.031
Electric - Residential,62,76967.545
Merchant,15,76591.0
Malaysia,178,75730.89
Crossover and Sport Utility Vehicles,7,75705.987
All other,22,75590.479
99 Customers,41,75567.022
Telecommunications,184,73169.248
Financial Services,220,72598.703
South Africa,43,69930.075
Department of Defense,41,69211.04000000001
Original equipment manufacturing (oem),2,68888.6
Industrial Products,13,68603.0
Peru,133,67686.513
"PRC, excluding Hong Kong, Macau and Taiwan",7,67489.335
Anthem,6,66831.33
7 Customers,215,66207.525
200 Customers,2,66156.917
Other third party payors,7,65851.099
Mexico and Central America,2,65140.0
Industrial Merchant,11,64737.664
Outside of the U.S,18,64487.809
Asia-Pacific,60,63676.048
Consumers Revenue,4,63595.988
Greece,72,63273.134
"United States, Canada, Western Europe",6,62798.0
Chains,5,62431.0
WT Microelectronics Co Ltd,15,62220.776
Business,25,60482.468
Lowe's Companies Inc.,209,59702.801
Industrial-Retail,88,59650.727
Central and Eastern Europe,10,59382.35
Regulated Electric - Residential,14,59066.0
Domestic,31,58862.438
CEEMEA,5,58619.35
Lg Electronics Inc,62,58452.175
Automotive Original Equipment Business,3,58385.277
Regulated - Electric,8,58205.0
Construction,23,57378.381
Oil and Gas,18,56861.56
Other Developing markets,2,56760.517
America,43,56285.534999999996
Other OECD countries,3,56111.59299999999
Germany Life,4,56075.75
CHINA PETROLEUM & CHEMICAL CORPORATION,9,55929.107
Continental Europe,4,55906.966
Rest of OECD,5,55811.139
Established Markets,7,55444.0
General Motors Corp,19,54967.684
Non-U.S,22,54004.424
Professional,18,53402.595
LATAM,18,52999.676
"Mexico,Canada,Russia,United Kingdom,China,South Af",3,52927.3
Centers for Medicare & Medicaid Services (CMS),2,52924.59
All Others,27,52861.556
Life Sciences,56,52806.683
North Carolina,428,52687.184
WellPoint Inc,5,52530.287
Other countries,6,52154.633
Aftermarket,44,52128.74
Mass merchants and home centers,9,51313.179000000004
U.S. Navy,12,51290.187
Non U.S. Passengers,6,51148.16
"Global Insurance Lines & Anglo Markets, Middle Eas",2,51019.2
Retailers,32,50774.2
Manufacturing,27,50732.73
Distributor,13,50224.565
Wal-Mart Stores,64,50026.252
Consumer Electronics,124,49096.801
Corporate Customers,33,49035.023
Non United States,8,49016.0
Large Industries,15,48865.592
Direct to customer,10,48737.081
Fios,4,48600.0
Mid-Atlantic,13,48551.699
"Europe except France, North Africa",6,48067.318
GPO,7,47987.16
Data Center,1,47525.0
Wisconsin,23,47393.6
Small and Medium Business,4,46922.0
"Other Asia, Oceania, Africa and Middle East",3,46739.649
"Mexico,Canada,Russia,China,U. K.,Brazil&South Afri",2,45831.25
Retail-Industrial,54,45283.71
Sao Paulo Metropolitan Region,15,45127.521
Commercial aerospace and other commercial,3,45014.0
Retail - Residential,62,44727.14
Taiwan Semiconductor Manufacturing Co Ltd,114,44360.282
Energy Safety & Security,5,44138.0
Residential/Religious,13,44116.0
Medicare and Medicare Advantage,15,44053.570999999996
Automotive Replacement,9,43957.88
Network Carriers,6,43811.177
Shell Oil Co,47,43350.229
Consignment,7,43331.435
"Other Europe, Middle East and North Africa",4,43306.008
End customers and contract manufacturers,7,42329.5
CNPC,4,41963.647
Residential - Retail,52,41752.989
Outside Europe,4,41619.698000000004
AT&T CORP,64,41619.036
China Petroleum & Chemical Corporation,4,41499.199
Portugal,4,41335.548
Airport,8,41303.498
New Equipment,3,41013.57
Medicare Part D,9,40767.366
Rest of World,25,40723.439
9 CUSTOMERS,8,40650.028
Gas,10,40550.0
United States and Canada (USCAN),5,40471.0
Institutional,24,39922.572
Original Equipment Manufacturers (OEM),5,39793.92
Direct Channel,32,39415.53
90 Customers,19,39389.189
Communications & Media,14,39360.797
U.S. Federal Government (Incl.U.S. Navy&U.S.Coast),7,39041.0
UNITED STATES,4,38829.113
Royal Dutch Shell PLC,50,38752.553
Electric-Residential,36,38743.909
Fabless Design Companies,7,38569.601
Midwest,22,38544.752
Not reported,107,38539.85
PRC Government,8,38070.518
Outside the Eurozone,5,37985.331
Communication Devices,15,37835.528
United States and its territories,5,37473.0
Education,20,37283.74
Overseas Sales,3,37204.797999999995
Residential/Religious-Electric,12,36943.0
Store Sales,4,36758.0
Ireland,156,36552.862
U.S. government,11,36526.778
Walgreen Co,18,36317.812
Western & Southern Europe and Asia Pacific,1,36307.986
Reported,2,36304.0
Other Europe,28,36193.658
Commercial - Electric,59,36039.641
Independent retailers,5,36001.0
"McLane Company, Inc.,",10,35838.765
Warehouse Distribution,5,35459.761
Global Insurance Lines & Anglo Markets,2,35090.069
Online direct sales,3,35039.763999999996
Medium / Large,7,34628.8
Food Industry,9,34419.496
Independent Resellers,8,34389.173
Non-U.S Customers,1,34368.0
Asia/Pacific,8,33783.818
OEMs,21,33748.428
Western Europe (excluding Great Britain),3,33595.0
Light Truck,4,33574.453
"Europe, Middle East, and Africa",8,33173.626000000004
Vizient,9,32926.762
Healthcare Insurers,15,32659.363
Industrial Distribution,13,32389.189
Integrated Network Solutions,3,32200.609
All Foreign Countries,1,32064.915
Distribution Services,8,31859.0
Linear Networks,3,31757.0
U.S. Office of Personnel Management,10,31700.0
Software & Platforms,9,31630.294
Retail-Commercial & Industrial,6,31420.0
Agency,18,31407.003
United KIngdom,5,31064.319
"McLane Company, Inc",28,30977.176
