gvkey,conm,tic,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001000,A & E PLASTIK PAK INC,AE.2,P,01,LU,25881,23369,1970-11-13,1978-06-30
001001,A & M FOOD SERVICES INC,AMFD.,P,01,LU,10015,6398,1983-09-20,1986-07-31
001002,AAI CORP,AAIC.1,C,01,LC,10023,22159,1972-12-14,1973-06-05
001003,A.A. IMPORTING CO INC,ANTQ,C,01,LU,10031,6672,1983-12-07,1989-08-16
001004,AAR CORP,AIR,P,01,LU,54594,20000,1972-04-24,E
001005,A.B.A. INDUSTRIES INC,ABA.2,C,01,LU,61903,11,1973-01-31,1983-01-31
001007,ABKCO INDUSTRIES INC,4135B,C,00X,LU,10058,20,1973-10-01,1979-01-30
001007,ABKCO INDUSTRIES INC,4135B,P,01,LU,10058,20,1979-01-31,1984-09-28
001008,ABM COMPUTER SYSTEMS INC,ABMC.,P,01,LC,10066,6331,1983-08-25,1987-02-26
001009,ABS INDUSTRIES INC,ABSI.1,C,01,LC,10074,5271,1982-01-18,1996-03-13
001010,ACF INDUSTRIES INC,4165A,P,01,LU,10006,22156,1962-01-31,1984-06-28
001010,ACF INDUSTRIES INC,4165A,C,00X,LU,10006,22156,1950-05-01,1962-01-30
001011,ACS ENTERPRISES INC,ACSE,P,01,LC,10082,5793,1983-03-21,1995-09-28
001012,ACS INDUSTRIES INC,6927B,P,01,LU,10103,52,1978-01-31,1989-12-29
001013,ADC TELECOMMUNICATIONS INC,ADCT.1,P,01,LU,50906,2902,1979-03-16,2010-12-31
001015,ADI ELECTRONICS INC,4327B,P,01,LU,66405,5204,1982-01-29,1986-10-31
001016,AEC INC,AECE,C,00X,LC,10146,314,1973-11-01,1977-11-29
001016,AEC INC,AECE,P,01,LC,10146,314,1977-11-30,1988-04-26
001017,AEL INDUSTRIES  -CL A,AELNA,P,01,LC,10154,81,1972-12-14,1996-02-29
001018,AES TECHNOLOGY SYSTEMS INC,2938B,C,01,LU,10162,88,1979-01-31,1981-03-04
001018,AES TECHNOLOGY SYSTEMS INC,2938B,C,00X,LU,10162,88,1973-07-01,1979-01-30
001019,AFA PROTECTIVE SYSTEMS INC,AFAP,C,01,LC,10189,93,1972-12-14,1988-02-09
001020,AFG INDUSTRIES INC,5548C,P,02,LC,68806,100,1972-12-14,1988-04-05
001021,AFP IMAGING CORP,IWKS,P,01,LU,10218,109,1980-10-14,1999-03-19
001022,AGM INDUSTRIES INC,AGMN.1,P,01,LU,10234,118,1976-08-31,1983-07-28
001022,AGM INDUSTRIES INC,AGMN.1,C,00X,LU,10234,118,1973-07-01,1976-08-30
001023,AGS COMPUTERS INC,AGS.2,P,01,LU,66755,5542,1982-06-09,1988-10-05
001024,A I A INDUSTRIES INC,AIAQ,P,01,LU,10269,6202,1983-07-21,1984-09-28
001025,A I C INTL INC,AIIN,C,01,LU,47351,306,1973-01-31,1985-03-19
001026,AID INC-DEL CL A,AIDCA,P,01,LU,10277,134,1972-12-14,1978-05-31
001027,A I M COS,AIM.3,P,01,LU,28601,23555,1966-01-31,1971-05-28
001028,AIM TELEPHONES INC,7547B,P,01,LU,10285,5148,1981-10-29,1992-01-31
001029,A.I.N. LEASING CORP,AINSE,P,01,LU,10293,6069,1983-06-15,1985-10-31
001030,A I T S INC,1410B,C,01,LU,10306,145,1973-01-31,1974-10-16
001031,A J INDS INC,AJ.2,P,01,LU,10014,22157,1966-01-31,1977-03-31
001031,A J INDS INC,AJ.2,C,00X,LU,10014,22157,1960-04-01,1966-01-30
001034,ALPHARMA INC  -CL A,ALO.2,P,01,LC,65832,20007,1984-02-15,2008-12-29
001036,UNITED DOMINION INDUSTRIES,UDI.,C,01,LC,65453,20008,1983-12-06,2001-05-31
001037,AM COMMUNICATIONS INC,AMCM.,C,01,LU,10314,255,1980-10-07,1988-08-25
001038,AMC ENTERTAINMENT INC -OLD,AEN.2,P,01,LU,66413,6301,1983-08-18,2004-12-31
001039,AMC INVESTORS INC,AMC.3,P,01,LC,50526,25132,1970-04-29,1979-11-30
001040,AMF INC,AMF.2,C,00X,LU,15763,22631,1950-01-01,1962-01-30
001040,AMF INC,AMF.2,P,01,LU,15763,22631,1962-01-31,1985-10-31
001042,AMI SYSTEMS INC,AMIS.1,P,01,LU,10365,5554,1982-06-21,1985-06-28
