gvkey,sector
001013,45
001045,20
001062,40
001078,35
001094,35
001117,45
001161,45
001173,20
001177,35
001209,15
001210,20
001327,45
001356,15
001380,10
001382,20
001414,40
001439,20
001440,55
001447,40
001449,40
001468,25
001487,40
001533,15
001598,20
001602,35
001632,45
001633,35
001634,45
001635,45
001661,10
001678,10
001681,15
001682,10
001690,45
001704,45
001712,15
001722,30
001773,45
001794,15
001823,20
001860,10
001878,45
001891,20
001913,15
001919,45
001949,60
001976,10
001988,15
002002,40
002005,40
002019,40
002044,35
002049,20
002052,10
002073,10
002111,35
002124,45
002136,50
002176,40
002184,25
002220,35
002222,35
002269,25
002270,10
002282,30
002285,20
002290,25
002295,10
002340,20
002390,30
002393,20
002403,35
002410,10
002411,50
002436,25
002444,25
002497,20
002504,45
002536,45
002547,35
002556,25
002574,20
002577,45
002581,45
002593,15
002615,45
002721,45
002735,60
002751,35
002771,20
002783,55
002787,20
002812,30
002817,20
002852,10
002884,50
002938,25
002940,35
002942,35
002968,40
002991,10
002999,20
003026,30
003028,25
003036,50
003062,20
003107,15
003121,30
003138,30
003144,30
003153,15
003157,45
003158,45
003169,35
003170,30
003198,10
003221,40
003226,50
003231,40
003243,40
003275,45
003278,20
003336,45
003358,45
003362,30
003382,50
003413,55
003429,60
003469,10
003532,45
003533,55
003562,60
003581,40
003594,10
003619,15
003622,25
003647,25
003650,20
003662,20
003708,25
003734,25
003735,35
003761,45
003801,20
003806,10
003813,30
003820,40
003835,20
003851,20
003897,55
003969,45
004001,25
004016,30
004029,55
004036,20
004040,20
004045,10
004066,50
004072,25
004091,20
004093,55
004115,20
004145,35
004194,45
004213,15
004245,35
004274,45
004279,45
004321,20
004322,25
004340,45
004341,25
004351,10
004352,45
004367,10
004383,55
004409,35
004423,20
004430,10
004439,45
004448,25
004460,20
004476,45
004497,10
004503,10
004510,15
004517,55
004560,25
004598,20
004600,25
004605,60
004606,40
004611,25
004640,40
004674,40
004685,40
004699,40
004707,60
004723,40
004737,40
004740,40
004809,30
004818,20
004839,25
004842,60
004843,35
004864,20
004900,45
004903,15
004926,15
004941,20
004988,50
004990,25
005018,20
005046,20
005047,20
005071,30
005072,40
005073,25
005109,25
005116,25
005125,25
005149,60
005165,20
005179,15
005180,35
