costat,curcd,datafmt,indfmt,consol,gvkey,datadate,conm,tic,cusip,cik,fic,ggroup,gind,gsector,gsubind,loc,naics,sic,fdate,fyear
I,USD,STD,INDL,C,001013,2000-10-31,ADC TELECOMMUNICATIONS INC,ADCT.1,000886309,0000061478,USA,4520,452010,45,45201020,USA,334210,3661,,2000
I,USD,STD,INDL,C,001013,2001-10-31,ADC TELECOMMUNICATIONS INC,ADCT.1,000886309,0000061478,USA,4520,452010,45,45201020,USA,334210,3661,,2001
I,USD,STD,INDL,C,001013,2002-10-31,ADC TELECOMMUNICATIONS INC,ADCT.1,000886309,0000061478,USA,4520,452010,45,45201020,USA,334210,3661,,2002
I,USD,STD,INDL,C,001013,2003-10-31,ADC TELECOMMUNICATIONS INC,ADCT.1,000886309,0000061478,USA,4520,452010,45,45201020,USA,334210,3661,,2003
I,USD,STD,INDL,C,001013,2004-10-31,ADC TELECOMMUNICATIONS INC,ADCT.1,000886309,0000061478,USA,4520,452010,45,45201020,USA,334210,3661,,2004
I,USD,STD,INDL,C,001013,2005-10-31,ADC TELECOMMUNICATIONS INC,ADCT.1,000886309,0000061478,USA,4520,452010,45,45201020,USA,334210,3661,,2005
I,USD,STD,INDL,C,001013,2006-10-31,ADC TELECOMMUNICATIONS INC,ADCT.1,000886309,0000061478,USA,4520,452010,45,45201020,USA,334210,3661,2007-01-10,2006
I,USD,STD,INDL,C,001013,2007-10-31,ADC TELECOMMUNICATIONS INC,ADCT.1,000886309,0000061478,USA,4520,452010,45,45201020,USA,334210,3661,2008-01-09,2007
I,USD,STD,INDL,C,001013,2008-10-31,ADC TELECOMMUNICATIONS INC,ADCT.1,000886309,0000061478,USA,4520,452010,45,45201020,USA,334210,3661,2009-01-06,2008
I,USD,STD,INDL,C,001013,2009-09-30,ADC TELECOMMUNICATIONS INC,ADCT.1,000886309,0000061478,USA,4520,452010,45,45201020,USA,334210,3661,2009-12-08,2009
I,USD,STD,INDL,C,001013,2010-09-30,ADC TELECOMMUNICATIONS INC,ADCT.1,000886309,0000061478,USA,4520,452010,45,45201020,USA,334210,3661,2010-12-09,2010
A,USD,STD,INDL,C,001045,2000-12-31,AMERICAN AIRLINES GROUP INC,AAL,02376R102,0000006201,USA,2030,203020,20,20302010,USA,481111,4512,,2000
A,USD,STD,INDL,C,001045,2001-12-31,AMERICAN AIRLINES GROUP INC,AAL,02376R102,0000006201,USA,2030,203020,20,20302010,USA,481111,4512,,2001
A,USD,STD,INDL,C,001045,2002-12-31,AMERICAN AIRLINES GROUP INC,AAL,02376R102,0000006201,USA,2030,203020,20,20302010,USA,481111,4512,,2002
A,USD,STD,INDL,C,001045,2003-12-31,AMERICAN AIRLINES GROUP INC,AAL,02376R102,0000006201,USA,2030,203020,20,20302010,USA,481111,4512,,2003
A,USD,STD,INDL,C,001045,2004-12-31,AMERICAN AIRLINES GROUP INC,AAL,02376R102,0000006201,USA,2030,203020,20,20302010,USA,481111,4512,,2004
A,USD,STD,INDL,C,001045,2005-12-31,AMERICAN AIRLINES GROUP INC,AAL,02376R102,0000006201,USA,2030,203020,20,20302010,USA,481111,4512,,2005
A,USD,STD,INDL,C,001045,2006-12-31,AMERICAN AIRLINES GROUP INC,AAL,02376R102,0000006201,USA,2030,203020,20,20302010,USA,481111,4512,2007-03-10,2006
A,USD,STD,INDL,C,001045,2007-12-31,AMERICAN AIRLINES GROUP INC,AAL,02376R102,0000006201,USA,2030,203020,20,20302010,USA,481111,4512,2008-03-12,2007
A,USD,STD,INDL,C,001045,2008-12-31,AMERICAN AIRLINES GROUP INC,AAL,02376R102,0000006201,USA,2030,203020,20,20302010,USA,481111,4512,2009-02-26,2008
A,USD,STD,INDL,C,001045,2009-12-31,AMERICAN AIRLINES GROUP INC,AAL,02376R102,0000006201,USA,2030,203020,20,20302010,USA,481111,4512,2010-03-26,2009
A,USD,STD,INDL,C,001045,2010-12-31,AMERICAN AIRLINES GROUP INC,AAL,02376R102,0000006201,USA,2030,203020,20,20302010,USA,481111,4512,2011-02-18,2010
A,USD,STD,INDL,C,001045,2011-12-31,AMERICAN AIRLINES GROUP INC,AAL,02376R102,0000006201,USA,2030,203020,20,20302010,USA,481111,4512,2012-02-22,2011
