gvkey,datadate,conm,tic,gsector,ggroup,gind,gsubind,naics,sic
001013,2010-09-30,ADC TELECOMMUNICATIONS INC,ADCT.1,45.0,4520.0,452010.0,45201020.0,334210,3661
001045,2025-12-31,AMERICAN AIRLINES GROUP INC,AAL,20.0,2030.0,203020.0,20302010.0,481111,4512
001062,2025-11-30,ASA GOLD AND PRECIOUS METALS,ASA,40.0,4020.0,402030.0,40203010.0,523999,6799
001078,2025-12-31,ABBOTT LABORATORIES,ABT,35.0,3510.0,351010.0,35101010.0,334510,3845
001094,2018-06-30,ACETO CORP,ACETQ,35.0,3510.0,351020.0,35102010.0,424690,5160
001117,2025-12-31,BK TECHNOLOGIES CORP,BKTI,45.0,4520.0,452010.0,45201020.0,334220,3663
001161,2025-12-31,ADVANCED MICRO DEVICES,AMD,45.0,4530.0,453010.0,45301020.0,334413,3674
001173,2013-01-31,AEROSONIC CORP,AIM.1,20.0,2010.0,201010.0,20101010.0,334511,3812
001177,2017-12-31,AETNA INC,AET,35.0,3510.0,351020.0,35102030.0,524114,6324
001209,2025-09-30,AIR PRODUCTS & CHEMICALS INC,APD,15.0,1510.0,151010.0,15101040.0,325120,2810
001210,2025-03-31,AIR T INC,AIRT,20.0,2030.0,203010.0,20301010.0,492110,4513
001327,2025-09-30,SKYWORKS SOLUTIONS INC,SWKS,45.0,4530.0,453010.0,45301020.0,334413,3674
001356,2015-12-31,ALCOA INC,AA.3,15.0,1510.0,151040.0,15104010.0,3364,3720
001380,2024-12-31,HESS CORP,HES,10.0,1010.0,101020.0,10102020.0,2111,1311
001382,2012-12-31,US AIRWAYS GROUP INC,LCC,20.0,2030.0,203020.0,20302010.0,481111,4512
001414,2025-12-31,PRIMERICA INC,PRI,40.0,4030.0,403010.0,40301020.0,524113,6311
001439,2021-12-31,US ECOLOGY INC,ECOL,20.0,2020.0,202010.0,20201050.0,562211,4955
001440,2025-12-31,AMERICAN ELECTRIC POWER CO,AEP,55.0,5510.0,551010.0,55101010.0,2211,4911
001447,2025-12-31,AMERICAN EXPRESS CO,AXP,40.0,4020.0,402020.0,40202010.0,522210,6141
001449,2025-12-31,AFLAC INC,AFL,40.0,4030.0,403010.0,40301020.0,524114,6321
001468,2013-02-28,AMERICAN GREETINGS  -CL A,AM.1,25.0,2520.0,252010.0,25201050.0,511191,2771
001487,2025-12-31,AMERICAN INTERNATIONAL GROUP,AIG,40.0,4030.0,403010.0,40301040.0,524126,6331
001533,2013-09-30,AMERICAN PACIFIC CORP,APFC,15.0,1510.0,151010.0,15101050.0,325180,2810
001598,2025-12-31,AMETEK INC,AME,20.0,2010.0,201040.0,20104010.0,334513,3823
001602,2025-12-31,AMGEN INC,AMGN,35.0,3520.0,352010.0,35201010.0,325414,2836
001632,2025-10-31,ANALOG DEVICES INC,ADI,45.0,4530.0,453010.0,45301020.0,334413,3674
001633,2017-07-31,ANALOGIC CORP,ALOG,35.0,3510.0,351010.0,35101010.0,334510,3845
001634,2012-12-31,ANALYSTS INTERNATIONAL CORP,ANLY,45.0,4510.0,451020.0,45102010.0,541511,7371
001635,2013-06-30,ANAREN INC,ANEN,45.0,4520.0,452010.0,45201020.0,334220,3663
001661,2025-12-31,NABORS INDUSTRIES LTD,NBR,10.0,1010.0,101010.0,10101010.0,213111,1381
001678,2025-12-31,APA CORP,APA,10.0,1010.0,101020.0,10102020.0,2111,1311
001681,2014-12-31,APOLLO SOLAR ENERGY INC,ASOE,15.0,1510.0,151040.0,15104020.0,331410,3330
001682,2013-12-31,APCO OIL AND GAS INTL INC,APAGF,10.0,1010.0,101020.0,10102020.0,211111,1311
001690,2025-09-30,APPLE INC,AAPL,45.0,4520.0,452020.0,45202030.0,334220,3663
001704,2025-10-31,APPLIED MATERIALS INC,AMAT,45.0,4530.0,453010.0,45301010.0,333242,3559
001712,2021-12-31,TRECORA RESOURCES,TREC,15.0,1510.0,151010.0,15101010.0,324110,2911
001722,2025-12-31,ARCHER-DANIELS-MIDLAND CO,ADM,30.0,3020.0,302020.0,30202010.0,31122,2070
001773,2025-12-31,ARROW ELECTRONICS INC,ARW,45.0,4520.0,452030.0,45203030.0,423690,5065
001794,2025-09-30,ASHLAND INC,ASH,15.0,1510.0,151010.0,15101050.0,3252,2820
001823,2025-12-31,ASTRONICS CORP,ATRO,20.0,2010.0,201010.0,20101010.0,336320,3640
001860,2016-09-30,ATWOOD OCEANICS,ATW,10.0,1010.0,101010.0,10101010.0,213111,1381
001878,2025-01-31,AUTODESK INC,ADSK,45.0,4510.0,451030.0,45103010.0,519290,7370
001891,2025-06-30,AUTOMATIC DATA PROCESSING,ADP,20.0,2020.0,202020.0,20202010.0,518210,7374
001913,2025-12-31,AVERY DENNISON CORP,AVY,15.0,1510.0,151030.0,15103020.0,322220,2670
001919,2025-06-30,AVNET INC,AVT,45.0,4520.0,452030.0,45203030.0,423690,5065
001949,2025-12-31,BRT APARTMENTS CORP,BRT,60.0,6010.0,601060.0,60106010.0,531110,6798
001976,2016-12-31,BAKER HUGHES INC,BHI,10.0,1010.0,101010.0,10101020.0,213111,1381
001988,2025-12-31,BALL CORP,BALL,15.0,1510.0,151030.0,15103010.0,332431,3411
002002,2025-12-31,POPULAR INC,BPOP,40.0,4010.0,401010.0,40101015.0,522110,6020
002005,2025-12-31,BANK OF HAWAII CORP,BOH,40.0,4010.0,401010.0,40101015.0,522110,6020
002019,2025-12-31,BANK OF NEW YORK MELLON CORP,BNY,40.0,4020.0,402030.0,40203010.0,522110,6020
002044,2016-12-31,BARD (C.R.) INC,BCR,35.0,3510.0,351010.0,35101010.0,339112,3841
002049,2023-12-31,BARNES GROUP INC,B.2,20.0,2010.0,201060.0,20106020.0,332613,3490
002052,2025-09-30,BARNWELL INDUSTRIES,BRN,10.0,1010.0,101020.0,10102020.0,2111,1311
002073,2014-03-31,EARTHSTONE ENERGY INC -OLD,ESTE.1,10.0,1010.0,101020.0,10102020.0,211111,1311
002111,2025-09-30,BECTON DICKINSON & CO,BDX,35.0,3510.0,351010.0,35101010.0,339112,3841
002124,2025-12-31,BEL FUSE INC,BELFB,45.0,4520.0,452030.0,45203015.0,334416,3677
002136,2025-12-31,VERIZON COMMUNICATIONS INC,VZ,50.0,5010.0,501010.0,50101020.0,517312,4812
002176,2025-12-31,BERKSHIRE HATHAWAY,BRK.B,40.0,4020.0,402010.0,40201030.0,999977,9997
002184,2025-01-31,BEST BUY CO INC,BBY,25.0,2550.0,255040.0,25504020.0,449210,5731
002220,2025-12-31,BIO-RAD LABORATORIES INC,BIO,35.0,3520.0,352030.0,35203010.0,334516,3826
002222,2012-12-31,SAVIENT PHARMACEUTICALS INC,SVNTQ,35.0,3520.0,352010.0,35201010.0,325414,2836
002269,2025-06-30,BLOCK H & R INC,HRB,25.0,2530.0,253020.0,25302020.0,541213,7200
002270,2025-12-31,VALARIS LIMITED,VAL,10.0,1010.0,101010.0,10101010.0,213111,1381
002282,2017-04-30,BOB EVANS FARMS,BOBE,30.0,3020.0,302020.0,30202030.0,311612,2013
002285,2025-12-31,BOEING CO,BA,20.0,2010.0,201010.0,20101010.0,336411,3721
002290,2012-12-31,OFFICEMAX INC,OMX,25.0,2550.0,255040.0,25504040.0,424120,5110
002295,2014-06-30,BOLT TECHNOLOGY CORP,BOLT.1,10.0,1010.0,101010.0,10101020.0,333132,3533
002340,2010-12-31,ENTRPRIZE CORP,ENTP,20.0,2010.0,201020.0,20102010.0,238990,1700
002390,2025-10-31,BRIDGFORD FOODS CORP,BRID,30.0,3020.0,302020.0,30202030.0,311612,2013
002393,2019-06-30,BRIGGS & STRATTON,BGGSQ,20.0,2010.0,201060.0,20106020.0,333618,3510
002403,2025-12-31,BRISTOL-MYERS SQUIBB CO,BMY,35.0,3520.0,352020.0,35202010.0,325412,2834
002410,2025-12-31,BP PLC,BP,10.0,1010.0,101020.0,10102010.0,324110,2911
002411,2019-03-31,BT GROUP PLC,BTY10,50.0,5010.0,501010.0,50101020.0,517311,4813
002436,2025-01-31,CALERES INC,CAL,25.0,2550.0,255040.0,25504010.0,458210,5661
002444,2025-12-31,BRUNSWICK CORP,BC,25.0,2520.0,252020.0,25202010.0,333618,3510
002497,2025-12-31,MASTEC INC,MTZ,20.0,2010.0,201030.0,20103010.0,237130,1623
002504,2025-12-31,UNISYS CORP,UIS,45.0,4510.0,451020.0,45102010.0,541512,7373
002536,2025-03-31,LIVERAMP HOLDINGS INC,RAMP,45.0,4510.0,451030.0,45103010.0,519290,7370
002547,2025-12-31,CIGNA GROUP (THE),CI,35.0,3510.0,351020.0,35102015.0,524114,6324
002556,2019-03-31,CSS INDUSTRIES INC,CSS,25.0,2520.0,252010.0,25201050.0,322220,2670
002574,2025-12-31,CSX CORP,CSX,20.0,2030.0,203040.0,20304010.0,482111,4011
002577,2025-12-31,CTS CORP,CTS,45.0,4520.0,452030.0,45203020.0,33441,3670
002581,2025-12-31,CVD EQUIPMENT CORP,CVV,45.0,4530.0,453010.0,45301010.0,333249,3559
002593,2025-09-30,CABOT CORP,CBT,15.0,1510.0,151010.0,15101010.0,325180,2890
002615,2023-02-28,CALAMP CORP,CAMPQ,45.0,4520.0,452010.0,45201020.0,334220,3663
002721,2024-12-31,CANON INC,CAJPY,45.0,4520.0,452020.0,45202030.0,333310,3577
002735,2024-12-31,CAPITAL PROPERTIES INC,CPTP,60.0,6020.0,602010.0,60201020.0,531190,6519
002751,2025-06-30,CARDINAL HEALTH INC,CAH,35.0,3510.0,351020.0,35102010.0,424210,5122
002771,2025-12-31,CARLISLE COS INC,CSL,20.0,2010.0,201020.0,20102010.0,324122,2950
002783,2025-12-31,PROGRESS ENERGY INC,DUK8,55.0,5510.0,551010.0,55101010.0,2211,4911
002787,2025-06-30,CARPENTER TECHNOLOGY CORP,CRS,20.0,2010.0,201010.0,20101010.0,331110,3312
002812,2012-12-31,DOLE FOOD CO INC,DOLE.1,30.0,3020.0,302020.0,30202030.0,111339,100
002817,2025-12-31,CATERPILLAR INC,CAT,20.0,2010.0,201060.0,20106010.0,333120,3531
002852,2022-12-31,CENTRAL NATURAL RES INC,CTNR,10.0,1010.0,101020.0,10102020.0,533110,6792
002884,2025-12-31,LUMEN TECHNOLOGIES INC,LUMN,50.0,5010.0,501010.0,50101010.0,517111,4813
002938,2012-01-31,CHARMING SHOPPES INC,CHRS.1,25.0,2550.0,255040.0,25504010.0,448120,5621
002940,2020-12-31,MAGELLAN HEALTH INC,MGLN,35.0,3510.0,351020.0,35102030.0,561110,8741
002942,2020-07-31,CANTEL MEDICAL CORP,CMD,35.0,3510.0,351010.0,35101010.0,334510,3845
002968,2025-12-31,JPMORGAN CHASE & CO,JPM,40.0,4010.0,401010.0,40101010.0,522110,6020
002991,2025-12-31,CHEVRON CORP,CVX,10.0,1010.0,101020.0,10102010.0,324110,2911
002999,2025-12-31,CHICAGO RIVET & MACHINE CO,CVR,20.0,2010.0,201060.0,20106020.0,332722,3452
003026,2025-12-31,CHURCH & DWIGHT INC,CHD,30.0,3030.0,303010.0,30301010.0,325611,2840
003028,2025-12-31,CHURCHILL DOWNS INC,CHDN,25.0,2530.0,253010.0,25301010.0,713210,7990
003036,2020-12-31,CINCINNATI BELL INC,CBB,50.0,5010.0,501010.0,50101020.0,517311,4813
003062,2025-05-31,CINTAS CORP,CTAS,20.0,2020.0,202010.0,20201070.0,812331,7200
